1632273680701774086,-0.33391 0.257138 -0.278087,-0.333909 0.270624 -0.776731,0.164918 0.270581 -0.776731,0.164917 0.257095 -0.278087,-0.333933 -0.0161436 -0.285478,-0.333932 -0.00265756 -0.784122,0.164895 -0.00270018 -0.784122,0.164894 -0.0161862 -0.285478,
1632273680768650086,-0.376244 0.256954 -0.278965,-0.376236 0.27139 -0.777828,0.122835 0.271094 -0.777828,0.122827 0.256657 -0.278965,-0.376407 -0.0164596 -0.286878,-0.376398 -0.00202285 -0.78574,0.122673 -0.00231928 -0.78574,0.122664 -0.016756 -0.286878,
1632273681203526086,-0.376828 0.252597 -0.248658,-0.376811 0.267262 -0.747695,0.122441 0.266673 -0.747695,0.122424 0.252008 -0.248658,-0.377145 -0.0168454 -0.256576,-0.377128 -0.00218057 -0.755613,0.122124 -0.002769 -0.755613,0.122107 -0.0174338 -0.256576,
1632273683143477086,-0.324172 0.261282 -0.288941,-0.324141 0.274884 -0.788512,0.175612 0.273777 -0.788512,0.175582 0.260175 -0.288941,-0.324781 -0.0137593 -0.29643,-0.324751 -0.000157401 -0.796,0.175003 -0.00126427 -0.796,0.174973 -0.0148661 -0.29643,
1632273683210611086,-0.317705 0.26179 -0.2902,-0.317687 0.274596 -0.790506,0.182781 0.273911 -0.790506,0.182764 0.261105 -0.2902,-0.318082 -0.0134018 -0.297244,-0.318064 -0.000595689 -0.79755,0.182405 -0.00128098 -0.79755,0.182387 -0.0140871 -0.297244,
1632273683277330086,-0.312622 0.261475 -0.288155,-0.312607 0.275554 -0.788966,0.188401 0.275043 -0.788966,0.188387 0.260964 -0.288155,-0.312902 -0.0137986 -0.295894,-0.312888 0.000280768 -0.796705,0.188121 -0.000230089 -0.796705,0.188106 -0.0143095 -0.295894,
1632273683344114086,-0.308696 0.26152 -0.300456,-0.308685 0.275923 -0.804589,0.195653 0.27556 -0.804589,0.195643 0.261157 -0.300456,-0.308894 -0.0140617 -0.308329,-0.308884 0.000341505 -0.812462,0.195455 -2.13087e-05 -0.812462,0.195444 -0.0144246 -0.308329,
1632273683444646086,-0.314341 0.261944 -0.292022,-0.314315 0.276063 -0.809759,0.203614 0.275096 -0.809759,0.203587 0.260977 -0.292022,-0.314857 -0.0141144 -0.29955,-0.31483 4.47035e-06 -0.817287,0.203098 -0.000962794 -0.817287,0.203072 -0.0150817 -0.29955,
1632273683511267086,-0.316249 0.26153 -0.278729,-0.316228 0.27735 -0.813472,0.218748 0.276654 -0.813472,0.218728 0.260834 -0.278729,-0.316608 -0.0148562 -0.286905,-0.316587 0.000963792 -0.821648,0.218389 0.000268459 -0.821648,0.218368 -0.0155515 -0.286905,
1632273683578302086,-0.318695 0.261644 -0.270069,-0.318705 0.27688 -0.816634,0.228073 0.277237 -0.816634,0.228083 0.262001 -0.270069,-0.318514 -0.0150065 -0.277781,-0.318524 0.000229433 -0.824346,0.228253 0.000586435 -0.824346,0.228263 -0.0146495 -0.277781,
1632273683645394086,-0.318849 0.262423 -0.26601,-0.31884 0.277424 -0.821228,0.23658 0.277074 -0.821228,0.236571 0.262073 -0.26601,-0.319024 -0.0144812 -0.273491,-0.319015 0.000519589 -0.828709,0.236406 0.000169486 -0.828709,0.236396 -0.0148313 -0.273491,
1632273683712206086,-0.316942 0.262369 -0.253974,-0.316902 0.27829 -0.817465,0.246813 0.276854 -0.817465,0.246772 0.260933 -0.253974,-0.317648 -0.0146243 -0.261801,-0.317607 0.00129679 -0.825292,0.246107 -0.000139207 -0.825292,0.246067 -0.0160603 -0.261801,
1632273683779015086,-0.342914 0.261846 -0.258948,-0.342913 0.278163 -0.847812,0.246177 0.278131 -0.847812,0.246176 0.261815 -0.258948,-0.342929 -0.0155946 -0.266635,-0.342928 0.000721723 -0.8555,0.246162 0.000690252 -0.8555,0.246161 -0.0156261 -0.266635,
1632273683845811086,-0.349349 0.261607 -0.254769,-0.34937 0.27879 -0.85974,0.255845 0.279526 -0.85974,0.255866 0.262343 -0.254769,-0.349011 -0.0161733 -0.262659,-0.349032 0.0010104 -0.86763,0.256183 0.00174648 -0.86763,0.256204 -0.0154372 -0.262659,
1632273683912791086,-0.358808 0.261471 -0.24552,-0.358795 0.279646 -0.866632,0.262582 0.279199 -0.866632,0.262569 0.261025 -0.24552,-0.359008 -0.0161982 -0.253645,-0.358995 0.00197615 -0.874757,0.262383 0.00152995 -0.874757,0.26237 -0.0166444 -0.253645,
1632273683979772086,-0.370775 0.26236 -0.239718,-0.370742 0.279803 -0.873672,0.263451 0.278609 -0.873672,0.263418 0.261167 -0.239718,-0.371299 -0.0158556 -0.247373,-0.371266 0.00158671 -0.881327,0.262927 0.000393197 -0.881327,0.262895 -0.0170491 -0.247373,
1632273684046855086,-0.37237 0.262519 -0.24161,-0.372363 0.279938 -0.873641,0.259908 0.279672 -0.873641,0.2599 0.262253 -0.24161,-0.372488 -0.016229 -0.249293,-0.372481 0.00119013 -0.881324,0.25979 0.000923544 -0.881324,0.259783 -0.0164956 -0.249293,
1632273684113507086,-0.368852 0.262945 -0.245731,-0.36885 0.281304 -0.859882,0.245575 0.281245 -0.859882,0.245573 0.262885 -0.245731,-0.368879 -0.016164 -0.254074,-0.368878 0.00219537 -0.868225,0.245548 0.00213589 -0.868225,0.245546 -0.0162235 -0.254074,
1632273684180220086,-0.352444 0.2641 -0.260407,-0.352441 0.280144 -0.838319,0.225694 0.28001 -0.838319,0.22569 0.263966 -0.260407,-0.352509 -0.0152196 -0.268162,-0.352505 0.000824034 -0.846073,0.225629 0.000689819 -0.846073,0.225625 -0.0153538 -0.268162,
1632273684247332086,-0.343265 0.264199 -0.257888,-0.343239 0.279037 -0.807589,0.206661 0.27808 -0.807589,0.206635 0.263242 -0.257888,-0.343751 -0.0148923 -0.265422,-0.343725 -5.427e-05 -0.815123,0.206175 -0.0010111 -0.815123,0.20615 -0.0158492 -0.265422,
1632273684314230086,-0.358081 0.264884 -0.279496,-0.358055 0.280621 -0.811039,0.17372 0.27974 -0.811039,0.173694 0.264003 -0.279496,-0.358543 -0.0142374 -0.28776,-0.358517 0.00149931 -0.819303,0.173258 0.000618547 -0.819303,0.173232 -0.0151181 -0.28776,
1632273684381219086,-0.367252 0.263765 -0.266621,-0.367263 0.27854 -0.786617,0.152943 0.278923 -0.786617,0.152954 0.264148 -0.266621,-0.367047 -0.0150362 -0.274542,-0.367058 -0.000260994 -0.794538,0.153148 0.000122234 -0.794538,0.153159 -0.0146529 -0.274542,
1632273684448197086,-0.335039 0.26353 -0.276572,-0.335032 0.277661 -0.789277,0.177868 0.277398 -0.789277,0.17786 0.263268 -0.276572,-0.335182 -0.0151638 -0.284253,-0.335175 -0.0010336 -0.796958,0.177725 -0.00129622 -0.796958,0.177718 -0.0154264 -0.284253,
1632273684514956086,-0.32312 0.263599 -0.270347,-0.323087 0.278405 -0.778318,0.185098 0.277272 -0.778318,0.185065 0.262466 -0.270347,-0.323741 -0.0148526 -0.278463,-0.323708 -4.63277e-05 -0.786434,0.184477 -0.00117935 -0.786434,0.184444 -0.0159857 -0.278463,
1632273684581943086,-0.307894 0.264321 -0.277973,-0.307872 0.278033 -0.783,0.19734 0.277213 -0.783,0.197318 0.263501 -0.277973,-0.308346 -0.0139226 -0.285528,-0.308324 -0.000210658 -0.790555,0.196888 -0.00103067 -0.790555,0.196866 -0.0147426 -0.285528,
1632273684648800086,-0.294752 0.263824 -0.283582,-0.294761 0.277994 -0.786666,0.208522 0.278294 -0.786666,0.208531 0.264124 -0.283582,-0.294586 -0.0143283 -0.291417,-0.294595 -0.000157505 -0.794501,0.208688 0.00014247 -0.794501,0.208697 -0.0140283 -0.291417,
1632273684715787086,-0.283316 0.263927 -0.288482,-0.283314 0.27895 -0.790315,0.218744 0.278862 -0.790315,0.218742 0.263839 -0.288482,-0.283365 -0.0142408 -0.296809,-0.283363 0.000782341 -0.798643,0.218695 0.000694185 -0.798643,0.218693 -0.014329 -0.296809,
1632273684782580086,-0.289664 0.264523 -0.278306,-0.289639 0.278614 -0.779389,0.211641 0.277718 -0.779389,0.211616 0.263628 -0.278306,-0.290161 -0.0135241 -0.286124,-0.290136 0.000566319 -0.787207,0.211144 -0.000329509 -0.787207,0.211119 -0.0144199 -0.286124,
1632273684849383086,-0.284772 0.26533 -0.284452,-0.284744 0.27825 -0.785078,0.216048 0.277177 -0.785078,0.21602 0.264257 -0.284452,-0.285367 -0.0125115 -0.291622,-0.285339 0.000408411 -0.792249,0.215453 -0.000663877 -0.792249,0.215425 -0.0135838 -0.291622,
1632273684916292086,-0.281308 0.264669 -0.289024,-0.281289 0.27871 -0.789285,0.219168 0.278026 -0.789285,0.219149 0.263985 -0.289024,-0.281688 -0.0131858 -0.296823,-0.281669 0.000855044 -0.797084,0.218789 0.000171259 -0.797084,0.218769 -0.0138696 -0.296823,
1632273684983307086,-0.279585 0.264337 -0.29271,-0.279587 0.278765 -0.792736,0.220647 0.27884 -0.792736,0.220649 0.264412 -0.29271,-0.279543 -0.0136349 -0.300731,-0.279545 0.000792906 -0.800757,0.220689 0.000868425 -0.800757,0.220691 -0.0135594 -0.300731,
1632273685050376086,-0.281419 0.265358 -0.295995,-0.28141 0.278837 -0.795928,0.218705 0.278509 -0.795928,0.218696 0.265029 -0.295995,-0.281602 -0.0127814 -0.303494,-0.281593 0.000698105 -0.803428,0.218523 0.000369504 -0.803428,0.218514 -0.01311 -0.303494,
1632273685117219086,-0.29696 0.264696 -0.28825,-0.296923 0.278363 -0.788109,0.203121 0.277016 -0.788109,0.203084 0.263349 -0.28825,-0.297709 -0.0133811 -0.295853,-0.297672 0.000285864 -0.795712,0.202371 -0.00106135 -0.795712,0.202335 -0.0147283 -0.295853,
