1632273680701774086,366 0,1144 0,1144 541,366 541,
1632273680768650086,367 0,1150 0,1150 541,367 541,
1632273681203526086,372 0,1159 0,1159 540,372 540,
1632273683143477086,356 1,1301 1,1301 536,356 536,
1632273683210611086,344 0,1307 0,1307 537,344 537,
1632273683277330086,333 0,1309 0,1309 538,333 538,
1632273683344114086,338 7,1306 7,1306 538,338 538,
1632273683444646086,338 1,1407 1,1407 538,338 538,
1632273683511267086,330 0,1412 0,1412 538,330 538,
1632273683578302086,321 0,1414 0,1414 539,321 539,
1632273683645394086,316 0,1414 0,1414 539,316 539,
1632273683712206086,297 0,1433 0,1433 539,297 539,
1632273683779015086,337 0,1539 0,1539 538,337 538,
1632273683845811086,343 7,1529 7,1529 537,343 537,
1632273683912791086,329 0,1638 0,1638 538,329 538,
1632273683979772086,343 1,1572 1,1572 538,343 538,
1632273684046855086,343 0,1522 0,1522 538,343 538,
1632273684113507086,333 0,1405 0,1405 539,333 539,
1632273684180220086,330 0,1307 0,1307 540,330 540,
1632273684247332086,320 0,1248 0,1248 542,320 542,
1632273684314230086,319 1,1222 1,1222 541,319 541,
1632273684381219086,330 2,1244 2,1244 542,330 542,
1632273684448197086,340 0,1272 0,1272 542,340 542,
1632273684514956086,387 0,1293 0,1293 541,387 541,
1632273684581943086,377 0,1306 0,1306 541,377 541,
1632273684648800086,341 0,1279 0,1279 540,341 540,
1632273684715787086,338 0,1249 0,1249 540,338 540,
1632273684782580086,357 0,1220 0,1220 539,357 539,
1632273684849383086,346 0,1207 0,1207 537,346 537,
1632273684916292086,440 0,1197 0,1197 539,440 539,
1632273684983307086,340 0,1190 0,1190 539,340 539,
1632273685050376086,318 0,1183 0,1183 538,318 538,
1632273685117219086,297 3,1184 3,1184 539,297 539,
1632273685183960086,369 0,1190 0,1190 540,369 540,
1632273685250853086,499 2,1190 2,1190 541,499 541,
1632273685317763086,498 6,1182 6,1182 540,498 540,
1632273685384624086,491 0,1181 0,1181 540,491 540,
1632273685451481086,493 0,1177 0,1177 540,493 540,
1632273685518507086,497 0,1171 0,1171 544,497 544,
1632273685585629086,262 0,1170 0,1170 539,262 539,
1632273685652418086,282 0,1167 0,1167 539,282 539,
1632276016298832600,1283 0,1916 0,1916 1067,1283 1067,
1632276016432534600,1288 0,1916 0,1916 1063,1288 1063,
1632276016499423600,1248 0,1915 0,1915 1071,1248 1071,
1632276016566238600,1251 0,1919 0,1919 1068,1251 1068,
