1614300692180896329,1 0,786 0,786 976,1 976,
1614300692548847329,1 0,788 0,788 973,1 973,
1614300692582382329,1 0,789 0,789 975,1 975,
1614300692615572329,1 0,789 0,789 975,1 975,
1614300692649208329,0 0,788 0,788 974,0 974,
1614300692682617329,0 0,784 0,784 973,0 973,
1614300692716105329,0 0,786 0,786 973,0 973,
1614300692749840329,0 0,786 0,786 974,0 974,
1614300692782722329,0 0,786 0,786 974,0 974,
1614300692816308329,0 0,785 0,785 973,0 973,
1614300692849653329,0 0,787 0,787 974,0 974,
1614300692883170329,0 0,787 0,787 973,0 973,
1614300692916700329,0 0,786 0,786 973,0 973,
1614300692949907329,0 0,786 0,786 974,0 974,
1614300692983549329,0 0,785 0,785 973,0 973,
1614300693017062329,1 0,785 0,785 971,1 971,
1614300693050445329,1 0,785 0,785 972,1 972,
1614300693084055329,1 0,783 0,783 971,1 971,
1614300693117215329,0 0,781 0,781 973,0 973,
1614300693150794329,1 0,783 0,783 973,1 973,
1614300693184173329,1 0,784 0,784 973,1 973,
1614300693217698329,0 0,784 0,784 973,0 973,
1614300693251314329,0 0,784 0,784 973,0 973,
1614300693284509329,0 0,784 0,784 974,0 974,
1614300693318104329,0 0,785 0,785 974,0 974,
1614300693351594329,0 0,785 0,785 974,0 974,
1614300693385130329,0 0,785 0,785 974,0 974,
1614300693418464329,0 0,784 0,784 974,0 974,
1614300693451819329,0 0,785 0,785 974,0 974,
1614300693485372329,0 0,786 0,786 974,0 974,
1614300693518798329,0 0,786 0,786 975,0 975,
1614300693552210329,1 0,787 0,787 975,1 975,
1614300693585649329,1 0,786 0,786 975,1 975,
1614300693618887329,1 0,786 0,786 974,1 974,
1614300693652624329,1 0,786 0,786 974,1 974,
1614300693686093329,1 0,787 0,787 974,1 974,
1614300693719472329,1 0,788 0,788 974,1 974,
1614300693753005329,1 0,787 0,787 974,1 974,
1614300693786216329,1 0,786 0,786 974,1 974,
1614300693819968329,1 0,786 0,786 974,1 974,
1614300693853326329,0 0,786 0,786 974,0 974,
1614300693886770329,0 0,786 0,786 974,0 974,
1614300693920210329,0 0,786 0,786 975,0 975,
1614300693953707329,0 0,785 0,785 975,0 975,
1614300693987102329,0 0,786 0,786 975,0 975,
1614300694020663329,0 0,785 0,785 975,0 975,
1614300694054054329,0 0,783 0,783 974,0 974,
1614300694087391329,0 0,783 0,783 974,0 974,
1614300694120940329,0 0,784 0,784 974,0 974,
1614300694154510329,0 0,785 0,785 974,0 974,
1614300694187797329,0 0,784 0,784 973,0 973,
1614300694221267329,0 0,783 0,783 973,0 973,
1614300694254782329,0 1,783 1,783 973,0 973,
1614300694288164329,0 1,783 1,783 972,0 972,
1614300694321675329,0 1,785 1,785 973,0 973,
1614300694354968329,0 1,784 1,784 973,0 973,
