1632339865474320861,625 0,1756 0,1756 544,625 544,
1632339865541465861,615 0,1756 0,1756 544,615 544,
1632339865608344861,653 0,1757 0,1757 545,653 545,
1632339865674973861,607 0,1755 0,1755 545,607 545,
1632339865741790861,610 0,1755 0,1755 545,610 545,
1632339865808954861,648 0,1756 0,1756 544,648 544,
1632339865875797861,614 0,1756 0,1756 544,614 544,
1632339865942723861,686 0,1757 0,1757 544,686 544,
1632339866009520861,623 0,1756 0,1756 544,623 544,
1632339866076514861,619 0,1756 0,1756 545,619 545,
1632339866143280861,613 0,1756 0,1756 545,613 545,
1632339866210434861,624 0,1758 0,1758 545,624 545,
1632339866277280861,648 0,1757 0,1757 545,648 545,
1632339866344149861,611 0,1756 0,1756 545,611 545,
1632339866411025861,622 0,1757 0,1757 545,622 545,
1632339866477934861,629 0,1756 0,1756 544,629 544,
1632339866544925861,685 0,1763 0,1763 545,685 545,
1632339866611752861,612 0,1759 0,1759 545,612 545,
1632339866678689861,621 0,1756 0,1756 545,621 545,
1632339866745497861,663 0,1754 0,1754 545,663 545,
1632339866812516861,602 0,1752 0,1752 545,602 545,
1632339866879447861,606 0,1750 0,1750 545,606 545,
1632339866946217861,607 0,1748 0,1748 546,607 546,
1632339867013114861,610 0,1746 0,1746 546,610 546,
1632339867079985861,612 0,1747 0,1747 546,612 546,
1632339867146951861,606 0,1750 0,1750 546,606 546,
1632339867213991861,602 0,1752 0,1752 546,602 546,
1632339867280690861,597 0,1754 0,1754 546,597 546,
1632339867347709861,594 0,1752 0,1752 545,594 545,
1632339867414517861,595 0,1751 0,1751 545,595 545,
1632339867481418861,608 0,1751 0,1751 545,608 545,
1632339867548473861,604 0,1750 0,1750 545,604 545,
1632339867615341861,598 0,1745 0,1745 546,598 546,
1632339867682151861,600 0,1739 0,1739 545,600 545,
1632339867749031861,597 0,1734 0,1734 545,597 545,
1632339867815896861,596 0,1732 0,1732 545,596 545,
1632339867882842861,595 0,1731 0,1731 545,595 545,
1632339867949868861,593 0,1732 0,1732 545,593 545,
1632339868016495861,592 0,1733 0,1733 545,592 545,
1632339868083607861,597 0,1735 0,1735 544,597 544,
1632339868150496861,597 0,1738 0,1738 545,597 545,
1632339868217518861,600 0,1740 0,1740 544,600 544,
1632339868284157861,596 0,1741 0,1741 545,596 545,
1632339868350951861,590 0,1745 0,1745 545,590 545,
1632339868417933861,588 0,1748 0,1748 545,588 545,
1632339868485029861,593 0,1750 0,1750 546,593 546,
1632339868551942861,592 0,1754 0,1754 546,592 546,
1632339868618923861,601 0,1752 0,1752 546,601 546,
1632340679663660930,357 0,1525 0,1525 560,357 560,
1632340679730444930,350 0,1519 0,1519 563,350 563,
1632340679797467930,387 0,1517 0,1517 560,387 560,
1632340679864186930,374 1,1512 1,1512 558,374 558,
1632340679931076930,511 0,1509 0,1509 558,511 558,
1632340679998071930,411 0,1508 0,1508 558,411 558,
1632340680065062930,313 0,1503 0,1503 561,313 561,
1632340680131807930,309 3,1487 3,1487 562,309 562,
1632340680198544930,294 0,1504 0,1504 560,294 560,
1632340680265552930,286 0,1510 0,1510 559,286 559,
1632340680332496930,518 0,1502 0,1502 555,518 555,
1632340680399349930,510 0,1501 0,1501 554,510 554,
1632340680466376930,548 0,1498 0,1498 555,548 555,
1632340680533059930,580 0,1497 0,1497 554,580 554,
1632340680600209930,579 0,1496 0,1496 554,579 554,
1632340680667008930,547 0,1496 0,1496 555,547 555,
1632340680733940930,581 0,1496 0,1496 555,581 555,
1632340680800748930,580 0,1497 0,1497 555,580 555,
1632340680867618930,540 0,1497 0,1497 555,540 555,
1632340680934645930,555 0,1500 0,1500 555,555 555,
1632340681001611930,546 0,1500 0,1500 555,546 555,
1632340681068606930,545 0,1501 0,1501 556,545 556,
1632340681135475930,546 0,1501 0,1501 555,546 555,
1632340681202110930,612 0,1496 0,1496 554,612 554,
1632340681269074930,576 0,1496 0,1496 554,576 554,
1632340681336176930,572 0,1500 0,1500 554,572 554,
1632340681402927930,560 0,1501 0,1501 554,560 554,
1632340681469742930,526 0,1500 0,1500 553,526 553,
1632340681536684930,521 0,1501 0,1501 553,521 553,
1632340681603704930,516 0,1501 0,1501 553,516 553,
1632340681670697930,511 1,1500 1,1500 553,511 553,
1632340681737555930,506 1,1500 1,1500 553,506 553,
1632340681804326930,501 1,1500 1,1500 553,501 553,
1632340681871165930,498 0,1506 0,1506 551,498 551,
1632340681938150930,310 0,1499 0,1499 565,310 565,
1632340682005220930,309 0,1498 0,1498 567,309 567,
1632340682072027930,276 0,1498 0,1498 566,276 566,
1632340931815013914,532 0,1583 0,1583 525,532 525,
1632340931881810914,525 0,1588 0,1588 526,525 526,
1632340931948612914,585 0,1597 0,1597 526,585 526,
1632340932015461914,672 0,1605 0,1605 526,672 526,
1632340932082603914,814 0,1612 0,1612 527,814 527,
1632340932149436914,744 0,1618 0,1618 527,744 527,
1632340932216428914,494 0,1622 0,1622 528,494 528,
1632340932283260914,742 0,1626 0,1626 528,742 528,
1632340932349848914,786 0,1627 0,1627 529,786 529,
1632340932416797914,820 0,1629 0,1629 529,820 529,
1632340932483931914,642 0,1628 0,1628 531,642 531,
1632340932550796914,559 0,1628 0,1628 533,559 533,
1632340932617718914,812 0,1627 0,1627 532,812 532,
1632340932684497914,809 0,1628 0,1628 530,809 530,
1632340932751402914,635 0,1630 0,1630 530,635 530,
