"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632273684782580086","29.9401","1","Person","OK","IDLE","-0.0512106 0.125593 -0.541529","0.0431208 0.00323955 0.0124971","0.501281 0.278158 0.501281","92.2095","0 0 0","0 0 0 1"
"1632273684849383086","29.9401","1","Person","OK","IDLE","-0.047965 0.125583 -0.541391","0.0520164 0.00263785 0.0103379","0.500793 0.277934 0.500793","91.9774","0 0 0","0 0 0 1"
"1632273684916292086","30.03","1","Person","OK","IDLE","-0.0445972 0.125654 -0.542502","0.0584776 0.00216174 0.00846733","0.500458 0.277965 0.500458","83.305","0 0 0","0 0 0 1"
"1632273684983307086","29.9401","1","Person","OK","IDLE","-0.0418926 0.125859 -0.544421","0.0592784 0.00181144 0.00686925","0.500234 0.278087 0.500234","90.9381","0 0 0","0 0 0 1"
"1632273685050376086","30.03","1","Person","OK","IDLE","-0.0410645 0.126069 -0.546787","-0.0347105 0.00644628 0.00320453","0.500116 0.27824 0.500116","91.0461","0 0 0","0 0 0 1"
"1632273685117219086","30.03","1","Person","OK","IDLE","-0.0479419 0.125777 -0.546003","-0.0435422 -0.00960924 -0.052268","0.500045 0.278182 0.500045","90.6847","0 0 0","0 0 0 1"
"1632273685183960086","29.9401","1","Person","OK","IDLE","-0.0497157 0.125635 -0.546102","0.028624 -0.00390625 0.000392523","0.499976 0.278266 0.499976","79.107","0 0 0","0 0 0 1"
"1632273685250853086","29.9401","1","Person","OK","IDLE","-0.0491695 0.125743 -0.547304","-0.0205191 -0.00329845 -0.153026","0.49994 0.278527 0.49994","89.31","0 0 0","0 0 0 1"
"1632273685317763086","29.9401","1","Person","OK","IDLE","-0.0497371 0.125839 -0.551539","-0.0709982 0.00453892 -0.302076","0.499927 0.279085 0.499927","89.1377","0 0 0","0 0 0 1"
"1632273685384624086","29.8507","1","Person","OK","IDLE","-0.050187 0.125896 -0.552476","0.0323184 -0.00187926 0.308829","0.499926 0.279742 0.499926","89.9574","0 0 0","0 0 0 1"
"1632273685451481086","29.7619","1","Person","OK","IDLE","-0.0502658 0.12598 -0.552235","0.0212271 0.0404481 -0.0628859","0.499928 0.279991 0.499928","86.2723","0 0 0","0 0 0 1"
