1632273618885290588,475 0,1162 0,1162 540,475 540,
1632273618952010588,488 0,1165 0,1165 540,488 540,
1632273619019185588,489 0,1164 0,1164 540,489 540,
1632273619085948588,492 0,1165 0,1165 540,492 540,
1632273619152910588,490 0,1163 0,1163 540,490 540,
1632273619219606588,502 0,1160 0,1160 540,502 540,
1632273619286557588,520 0,1160 0,1160 540,520 540,
1632273619353546588,532 0,1162 0,1162 539,532 539,
1632273619420546588,544 0,1166 0,1166 538,544 538,
1632273619487257588,548 0,1168 0,1168 537,548 537,
1632273619554193588,507 0,1166 0,1166 536,507 536,
1632273619621054588,549 0,1164 0,1164 536,549 536,
1632273619687849588,555 0,1164 0,1164 537,555 537,
1632273619755122588,479 0,1165 0,1165 538,479 538,
1632273619821973588,560 0,1164 0,1164 539,560 539,
1632273619888718588,558 0,1159 0,1159 539,558 539,
1632273619955359588,560 0,1165 0,1165 539,560 539,
1632273620022560588,550 0,1202 0,1202 539,550 539,
1632273620089591588,538 5,1260 5,1260 540,538 540,
1632273620156315588,542 0,1293 0,1293 539,542 539,
1632273620223216588,367 0,1352 0,1352 538,367 538,
1632273620290066588,374 0,1382 0,1382 538,374 538,
1632273620357033588,386 11,1386 11,1386 540,386 540,
1632273620423999588,382 11,1398 11,1398 539,382 539,
1632273620490836588,385 22,1398 22,1398 540,385 540,
1632273620557538588,383 31,1394 31,1394 541,383 541,
1632273620624670588,431 0,1658 0,1658 540,431 540,
1632273620691636588,351 0,1653 0,1653 532,351 532,
1632273620758466588,351 1,1653 1,1653 535,351 535,
1632273620825392588,339 4,1651 4,1651 540,339 540,
1632273620892214588,339 6,1647 6,1647 541,339 541,
1632273620959115588,338 0,1645 0,1645 539,338 539,
1632273621025989588,334 0,1648 0,1648 540,334 540,
1632273621092908588,332 0,1650 0,1650 541,332 541,
1632273621159956588,332 0,1655 0,1655 540,332 540,
1632273621226617588,339 0,1658 0,1658 537,339 537,
1632273621293596588,331 0,1667 0,1667 539,331 539,
1632273621360583588,342 3,1665 3,1665 538,342 538,
1632273621427567588,333 1,1667 1,1667 540,333 540,
1632273621494306588,334 0,1667 0,1667 539,334 539,
1632273621561219588,335 1,1664 1,1664 539,335 539,
1632273621628256588,334 0,1658 0,1658 538,334 538,
1632273621695028588,340 1,1656 1,1656 537,340 537,
1632273621762083588,340 1,1656 1,1656 537,340 537,
1632273621828752588,341 3,1657 3,1657 538,341 538,
