"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632273305721586368","29.4985","0","Person","OFF","MOVING","-0.146628 0.128449 -0.586402","0.430489 -0.000121726 -0.0125824","0.498992 0.298624 0.498992","73.282","0 0 0","0 0 0 1"
"1632273305788507368","32.2581","0","Person","OK","MOVING","-0.109742 0.129514 -0.535883","0.526079 -0.0152869 0.523446","0.499085 0.296524 0.499085","77.1718","0 0 0","0 0 0 1"
"1632273305855405368","31.5457","0","Person","OK","MOVING","-0.0820534 0.129768 -0.504004","0.441996 -0.0124927 0.430909","0.499185 0.293817 0.499185","82.3246","0 0 0","0 0 0 1"
"1632273305922250368","32.5733","0","Person","OK","MOVING","-0.0682451 0.12967 -0.498315","0.348272 -0.0081263 0.277509","0.499184 0.291356 0.499184","78.8517","0 0 0","0 0 0 1"
"1632273305989234368","30.8642","0","Person","OK","MOVING","-0.0621497 0.12946 -0.501645","0.262084 -0.00365378 0.122921","0.501819 0.289445 0.501819","78.6193","0 0 0","0 0 0 1"
"1632273306056062368","30.6748","0","Person","OK","MOVING","-0.0538816 0.128971 -0.502202","0.248038 -0.00391024 0.132041","0.505481 0.287576 0.505481","84.5131","0 0 0","0 0 0 1"
"1632273306123186368","29.9401","0","Person","OK","IDLE","-0.0515141 0.128467 -0.505494","0.181375 -0.00116077 0.0295193","0.515684 0.286171 0.515684","88.2587","0 0 0","0 0 0 1"
"1632273306190013368","29.9401","0","Person","OK","IDLE","-0.047956 0.127949 -0.506982","0.157524 -0.00280058 0.0957738","0.521647 0.284683 0.521647","88.9526","0 0 0","0 0 0 1"
"1632273306256749368","29.4985","0","Person","OK","IDLE","-0.0466863 0.127533 -0.509622","0.123717 -0.00210098 0.0752188","0.525992 0.283485 0.525992","89.9831","0 0 0","0 0 0 1"
"1632273306323536368","29.5858","0","Person","OK","IDLE","-0.0472383 0.127106 -0.513896","0.0887284 -0.00162658 0.0539464","0.529473 0.282511 0.529473","88.7376","0 0 0","0 0 0 1"
