"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence"
"1606220916485585661","14.9701","2","Person","OK","MOVING","-0.219571 -0.686743 -0.516386","-0.276264 -0.454763 1.21493","0.78053 1.14289 0.780531","66.9194"
"1606220916551851661","14.9254","2","Person","OK","MOVING","-0.266318 -0.569568 -0.464724","-0.724567 -0.161383 0.986429","0.724424 1.11663 0.724424","40.039"
"1606220916617887661","15.0376","2","Person","OK","MOVING","-0.286687 -0.557324 -0.416177","-0.154972 -0.180499 0.682027","0.67954 1.08936 0.67954","40.039"
"1606220916684372661","14.9925","2","Person","OK","MOVING","-0.305879 -0.476649 -0.429288","-0.495715 0.164562 -0.200638","0.652017 1.07208 0.652017","41.049"
"1606220916750586661","14.9925","2","Person","OK","MOVING","-0.328514 -0.393308 -0.443163","-0.222316 1.2044 -0.266707","0.621614 1.02669 0.621614","41.049"
"1606220916816996661","15.083","2","Person","OK","MOVING","-0.331193 -0.327443 -0.454459","0.386282 1.02654 -1.01893","0.597291 0.989536 0.597291","41.049"
"1606220916883157661","15.1057","2","Person","TERMINATE","MOVING","-0.279577 -0.306902 -0.506974","1.30637 0.324591 -0.730303","0.591545 0.965717 0.591545","41.049"
"1606220916949436661","15.0602","3","Person","OFF","IDLE","-1.10069 0.408866 -1.85273","-2.22929 -1.31854 1.52962","1.60118 1.06674 1.60118","58.9899"
"1606220917016054661","14.9925","3","Person","OFF","MOVING","-1.17188 0.344875 -1.48329","3.43972 -3.36183 1.01116","1.50624 0.960626 1.50624","52.1473"
"1606220917082197661","15.083","3","Person","OK","MOVING","-1.19567 0.269082 -1.3466","0.068376 -1.12499 3.37574","1.41453 0.943837 1.41453","45.7932"
"1606220917148500661","15.1515","3","Person","OK","MOVING","-1.20689 0.173528 -1.15132","-0.0574814 -1.38365 3.00485","1.31344 0.911326 1.31344","45.7932"
"1606220917214810661","15.1286","3","Person","SEARCHING","MOVING","-1.2379 0.112717 -0.875206","-0.220369 -0.43648 3.84625","1.1861 0.88424 1.1861","45.7932"
"1606220917281222661","15.083","3","Person","SEARCHING","MOVING","-1.23016 0.0855747 -0.643084","0.148645 -0.319874 3.4993","1.04888 0.856485 1.04888","45.7932"
"1606220917347604661","15.0376","3","Person","OK","MOVING","-0.342912 -0.166961 -0.45626","2.8675 -1.06898 3.27302","0.978141 0.868754 0.978142","36.6304"
"1606220917413782661","14.9925","3","Person","OK","MOVING","-0.129079 -0.236362 -0.248936","2.93724 -0.810045 3.26488","0.882513 0.826875 0.882513","36.6304"
"1606220917480017661","14.9925","3","Person","SEARCHING","MOVING","0.0636624 -0.272423 0.026125","2.18675 -0.0821847 4.18437","0.806011 0.789119 0.806011","36.6304"
"1606220917546329661","14.9701","3","Person","SEARCHING","MOVING","0.219859 -0.285169 0.275929","1.52477 -0.163211 4.1504","0.744809 0.761057 0.744809","36.6304"
"1606220917612718661","15.0602","3","Person","TERMINATE","MOVING","0.218872 -0.297216 0.554179","-0.826291 -0.564444 4.48914","0.733533 0.733747 0.733533","36.6304"
"1606220917678694661","15.1057","4","Person","OK","MOVING","1.21782 1.01043 -2.17523","5.364 5.44749 7.08005","3.14502 1.36427 3.14502","53.4079"
"1606220917745199661","15.015","6","Person","OFF","IDLE","-0.378753 -0.0170891 -0.523724","0.42534 0.44996 -0.32992","0.697857 0.452762 0.697857","43.4192"
"1606220917811480661","15.015","6","Person","OFF","MOVING","-0.227966 0.0310756 -0.525501","2.8761 1.1724 0.1836","0.706225 0.46001 0.706225","75.8727"
"1606220917877812661","15.0376","6","Person","OK","MOVING","-0.150493 0.0720778 -0.521926","1.70434 0.874831 -0.203486","0.719585 0.45243 0.719585","82.5116"
"1606220917944298661","15.0376","6","Person","OK","MOVING","-0.132201 0.0866117 -0.521678","0.963841 0.311304 -0.580982","0.731996 0.440949 0.731996","71.1685"
"1606220918010370661","15.0602","6","Person","OK","MOVING","-0.0822562 0.111301 -0.54076","0.878424 0.383424 -0.74344","0.742493 0.438623 0.742493","71.1685"
"1606220918076746661","15.2207","6","Person","OK","MOVING","-0.019216 0.157681 -0.589008","0.963825 0.752249 -0.906543","0.75411 0.439287 0.75411","71.1685"
"1606220918142994661","15.1515","6","Person","OK","MOVING","-0.0486048 0.164671 -0.557854","0.757906 0.684327 -0.403907","0.703288 0.436027 0.703288","35.5255"
"1606220918209476661","15.083","6","Person","OK","MOVING","-0.0613297 0.172082 -0.513201","0.590346 0.693548 0.199463","0.66263 0.459489 0.66263","36.8527"
"1606220918275790661","15.0376","6","Person","OK","MOVING","-0.0787696 0.220372 -0.484802","0.168767 1.18445 0.377124","0.630104 0.424598 0.630104","88.0649"
"1606220918342002661","15.0602","6","Person","OK","MOVING","-0.0891302 0.23984 -0.476398","0.445969 0.273209 0.0221864","0.604083 0.414335 0.604084","81.0638"
"1606220918408275661","15.1515","6","Person","OK","MOVING","-0.105195 0.251552 -0.467514","0.268048 0.29154 0.26402","0.583267 0.409895 0.583267","68.8514"
"1606220918474389661","15.1286","6","Person","OK","MOVING","-0.117591 0.268 -0.463799","0.418167 0.438553 0.0989296","0.566613 0.396167 0.566613","85.3586"
"1606220918540996661","15.1976","6","Person","OK","MOVING","-0.111345 0.296899 -0.469874","0.606689 0.51768 -0.435661","0.553291 0.387495 0.553291","85.3586"
"1606220918607155661","15.1745","6","Person","OK","MOVING","-0.0651981 0.342386 -0.512912","0.988384 0.745064 -0.837932","0.542633 0.37846 0.542633","85.3586"
"1606220918673395661","15.1976","6","Person","TERMINATE","MOVING","-0.00296758 0.394594 -0.556729","0.938437 0.777456 -0.537001","0.534106 0.365893 0.534106","85.3586"
