1606220904816202661,2 1,860 1,860 885,2 885,
1606220904882680661,0 9,957 9,957 1203,0 1203,
1606220904948841661,0 58,1089 58,1089 1236,0 1236,
1606220905015407661,345 256,1586 256,1586 1241,345 1241,
1606220905081440661,0 0,1433 0,1433 1232,0 1232,
1606220905147858661,3 144,1505 144,1505 1237,3 1237,
1606220905214241661,0 247,1527 247,1527 1233,0 1233,
1606220905280391661,0 338,1544 338,1544 1232,0 1232,
1606220905346849661,0 369,1533 369,1533 1236,0 1236,
1606220905413038661,0 389,1501 389,1501 1234,0 1234,
1606220905479505661,60 399,1422 399,1422 1235,60 1235,
1606220905545531661,15 431,1356 431,1356 1233,15 1233,
1606220905611911661,0 459,1305 459,1305 1231,0 1231,
1606220905678302661,1 495,1233 495,1233 1238,1 1238,
1606220905744528661,4 516,1167 516,1167 1238,4 1238,
1606220905811008661,1 526,1150 526,1150 1238,1 1238,
1606220905877042661,2 506,1146 506,1146 1232,2 1232,
1606220905943539661,4 494,1150 494,1150 1237,4 1237,
1606220906009859661,6 473,1166 473,1166 1238,6 1238,
1606220906076096661,12 455,1169 455,1169 1234,12 1234,
1606220906142491661,13 425,1170 425,1170 1230,13 1230,
1606220906208647661,23 387,1174 387,1174 1236,23 1236,
1606220906274958661,20 347,1172 347,1172 1234,20 1234,
1606220906341193661,13 304,1181 304,1181 1237,13 1237,
1606220906407651661,3 210,1202 210,1202 1238,3 1238,
1606220906473810661,6 152,1223 152,1223 1238,6 1238,
1606220906540247661,8 85,1244 85,1244 1235,8 1235,
1606220906606441661,7 33,1262 33,1262 1233,7 1233,
1606220906672763661,5 5,1273 5,1273 1236,5 1236,
1606220906739033661,0 6,1268 6,1268 1238,0 1238,
1606220906805315661,0 7,1243 7,1243 1236,0 1236,
1606220906871663661,0 0,1225 0,1225 1233,0 1233,
1606220906937903661,0 18,1189 18,1189 1235,0 1235,
1606220907004290661,0 41,1149 41,1149 1231,0 1231,
1606220907070652661,0 79,1090 79,1090 1235,0 1235,
1606220907136773661,0 71,1047 71,1047 1230,0 1230,
1606220907203279661,0 283,1072 283,1072 1225,0 1225,
1606220907269467661,3 160,926 160,926 1221,3 1221,
1606220907335759661,7 114,941 114,941 1175,7 1175,
1606220907402275661,1 287,1001 287,1001 1231,1 1231,
1606220907468370661,3 264,955 264,955 1231,3 1231,
1606220907534779661,0 253,956 253,956 1231,0 1231,
1606220907600894661,0 254,962 254,962 1231,0 1231,
1606220907667414661,0 256,958 256,958 1240,0 1240,
1606220907733563661,5 266,971 266,971 1236,5 1236,
1606220907799788661,8 266,995 266,995 1231,8 1231,
1606220907866162661,2 260,995 260,995 1233,2 1233,
1606220907932578661,0 264,983 264,983 1238,0 1238,
1606220907998770661,0 271,985 271,985 1235,0 1235,
1606220908064931661,0 263,986 263,986 1230,0 1230,
1606220908131587661,0 263,978 263,978 1232,0 1232,
1606220908197695661,0 263,975 263,975 1234,0 1234,
1606220908263912661,0 268,971 268,971 1236,0 1236,
1606220908330323661,0 268,970 268,970 1235,0 1235,
1606220908396712661,0 270,969 270,969 1234,0 1234,
1606220908463017661,0 270,971 270,971 1232,0 1232,
1606220908529034661,0 269,973 269,973 1231,0 1231,
1606220908595519661,0 266,970 266,970 1233,0 1233,
1606220908661777661,0 271,965 271,965 1237,0 1237,
1606220908728254661,1 279,954 279,954 1233,1 1233,
1606220908794538661,4 306,937 306,937 1235,4 1235,
1606220908860724661,3 322,924 322,924 1234,3 1234,
1606220908927073661,0 347,925 347,925 1234,0 1234,
1606220908993222661,0 394,959 394,959 1236,0 1236,
1606220909059653661,0 416,1057 416,1057 1235,0 1235,
1606220909125806661,5 380,1119 380,1119 1229,5 1229,
1606220909192163661,50 423,1240 423,1240 1115,50 1115,
1606220909258630661,3 226,1663 226,1663 1238,3 1238,
1606220909324931661,32 209,1701 209,1701 1238,32 1238,
1606220909391277661,0 221,1711 221,1711 1238,0 1238,
1606220909457367661,2 242,1685 242,1685 1236,2 1236,
1606220909523931661,2 245,1712 245,1712 1233,2 1233,
1606220909589960661,9 221,1712 221,1712 1232,9 1232,
1606220909656355661,4 186,1640 186,1640 1228,4 1228,
1606220909722819661,5 180,1557 180,1557 1231,5 1231,
1606220909789086661,3 181,1514 181,1514 1231,3 1231,
1606220909855260661,3 183,1504 183,1504 1237,3 1237,
1606220909921425661,2 185,1489 185,1489 1241,2 1241,
