1606220904816202661,-0.729188 0.221319 -0.30572,-0.750283 0.292057 -0.800241,-0.271134 0.434945 -0.800241,-0.25004 0.364207 -0.30572,-0.585664 -0.259963 -0.380686,-0.606758 -0.189226 -0.875207,-0.12761 -0.0463377 -0.875207,-0.106515 -0.117075 -0.380686,
1606220904882680661,-0.642276 0.14209 -0.22525,-0.657666 0.184846 -0.723181,-0.187219 0.354196 -0.723181,-0.171828 0.31144 -0.22525,-0.465307 -0.34952 -0.272932,-0.480698 -0.306765 -0.770863,-0.0102511 -0.137415 -0.770863,0.00513977 -0.18017 -0.272932,
1606220904948841661,-0.597933 0.0613176 -0.240663,-0.601974 0.0715788 -0.740541,-0.136752 0.254796 -0.740541,-0.132711 0.244534 -0.240663,-0.404018 -0.431068 -0.252338,-0.408059 -0.420807 -0.752216,0.0571627 -0.23759 -0.752216,0.0612038 -0.247851 -0.252338,
1606220905015407661,-0.583325 0.0499887 -0.209476,-0.565885 0.00705642 -0.707324,-0.102647 0.195233 -0.707324,-0.120087 0.238165 -0.209476,-0.393184 -0.418086 -0.16245,-0.375744 -0.461018 -0.660299,0.087494 -0.272841 -0.660299,0.070054 -0.229909 -0.16245,
1606220905081440661,-0.508686 -0.0108801 -0.250009,-0.463015 -0.128777 -0.743859,0.0123412 0.0553676 -0.743859,-0.0333298 0.173264 -0.250009,-0.323051 -0.490083 -0.118442,-0.27738 -0.60798 -0.612291,0.197976 -0.423836 -0.612291,0.152305 -0.305939 -0.118442,
1606220905147858661,-0.510569 0.00724804 -0.253808,-0.463919 -0.150369 -0.750611,0.0378554 -0.00185905 -0.750611,-0.00879462 0.155758 -0.253808,-0.373884 -0.454574 -0.0944538,-0.327234 -0.612191 -0.591257,0.174541 -0.463681 -0.591257,0.127891 -0.306064 -0.0944538,
1606220905214241661,-0.522348 0.0427873 -0.26471,-0.478075 -0.16817 -0.75158,0.043025 -0.0588061 -0.75158,-0.00124876 0.152151 -0.26471,-0.428891 -0.402523 -0.0632618,-0.384617 -0.61348 -0.550132,0.136483 -0.504117 -0.550132,0.092209 -0.29316 -0.0632618,
1606220905280391661,-0.537119 0.0494824 -0.273359,-0.496036 -0.184801 -0.761946,0.0392071 -0.0909434 -0.761946,-0.00187597 0.14334 -0.273359,-0.461499 -0.381757 -0.0602157,-0.420416 -0.616041 -0.548803,0.114827 -0.522183 -0.548803,0.0737443 -0.287899 -0.0602157,
1606220905346849661,-0.543546 0.0504023 -0.268359,-0.505068 -0.196669 -0.759049,0.0391004 -0.111922 -0.759049,0.000622407 0.135149 -0.268359,-0.477579 -0.373174 -0.049908,-0.439101 -0.620245 -0.540597,0.105067 -0.535498 -0.540597,0.0665887 -0.288427 -0.049908,
1606220905413038661,-0.548363 0.0560537 -0.273825,-0.513288 -0.201692 -0.76614,0.0384365 -0.126613 -0.76614,0.00336188 0.131133 -0.273825,-0.491599 -0.361076 -0.0513972,-0.456524 -0.618822 -0.543712,0.0952002 -0.543742 -0.543712,0.0601256 -0.285996 -0.0513972,
1606220905479505661,-0.548318 0.0570976 -0.282921,-0.513706 -0.206309 -0.766489,0.0333331 -0.134427 -0.766489,-0.00127903 0.12898 -0.282921,-0.494312 -0.353897 -0.0551804,-0.4597 -0.617304 -0.538748,0.0873386 -0.545422 -0.538748,0.0527265 -0.282015 -0.0551804,
1606220905545531661,-0.55156 0.0546927 -0.293357,-0.517579 -0.22061 -0.763688,0.0243469 -0.15372 -0.763688,-0.00963391 0.121583 -0.293357,-0.502346 -0.344027 -0.0564152,-0.468365 -0.61933 -0.526747,0.0735613 -0.55244 -0.526747,0.0395804 -0.277137 -0.0564152,
